DMC Code,Name,Color
Ecru,Ecru/off-white,0xfff7e7
3779,Terra Cotta - ULT VY LT,0xf2ab95
3609,Plum - ULT LT,0xf6b0df
3781,Mocha Brown - DK,0x593f2b
3685,Mauve - VY DK,0x79263b
3782,Mocha Brown - LT,0xb69d80
3687,Mauve,0xb5455d
3787,Brown Gray - DK,0x62524c
3688,Mauve - MED,0xdc7c86
3790,Beige Gray - ULT DK,0x6d5a4b
3689,Mauve - LT,0xf8bbc8
3799,Pewter Gray - VY DK,0x39393d
3705,Melon - DK,0xf2494f
3801,Melon - VY DK,0xe4353d
3706,Melon - MED,0xfd6e70
3802,Antique Mauve - VY DK,0x672a33
3708,Melon - LT,0xfda0ae
3803,Mauve - DK,0x872a43
3712,Salmon - MED,0xd95d5d
3804,Cyclamen Pink - DK,0xce2b63
3713,Salmon - VY LT,0xfdd5d0
3805,Cyclamen Pink,0xdf3c73
3716,Dusty Rose - VY LT,0xfcafb9
3806,Cyclamen Pink - LT,0xf15a91
3721,Shell Pink - DK,0x933b3d
3807,Cornflower Blue,0x4b599e
3722,Shell Pink - MED,0xa04b4c
3808,Turquoise - ULT VY DK,0x03535c
3726,Antique Mauve - DK,0x95565c
3809,Turquoise - VY DK,0x136a75
3727,Antique Mauve - LT,0xda9ea6
3810,Turquoise - DK,0x2d8d98
3811,Turquoise - VY LT,0xa8e2e5
3839,Lavender Blue - MED,0x7a7ec5
3812,Seagreen - VY DK,0x07a184
3840,Lavender Blue - LT,0xb2bdea
3813,Blue Green - LT,0x86c3ab
3841,Baby Blue - PALE,0xd9eaf2
3814,Aquamarine,0x0b8673
3842,Wedgewood - DK,0x06506a
3815,Celadon Green - DK,0x437259
3843,Electric Blue,0x28a3de
3816,Celadon Green,0x60937a
3844,Bright Turquoise - DK,0x1f7fa0
3817,Celadon Green - LT,0x81c6a4
3845,Bright Turquoise - MED,0x2badd1
3818,Emerald Green - ULT VY DK,0x005d2e
3846,Bright Turquoise - LT,0x5eccec
3819,Moss Green - LT,0xccc959
3847,Teal Green - DK,0x186358
3820,Straw - DK,0xdba53e
3848,Teal Green - MED,0x207e72
3821,Straw,0xebbb52
3849,Teal Green - LT,0x35b193
3822,Straw - LT,0xf7d169
3850,Bright Green - DK,0x208b46
3823,Yellow - ULT PALE,0xfef5cd
3851,Bright Green - LT,0x61bb84
3824,Apricot - LT,0xfcae99
3852,Straw - VY DK,0xe3a730
3825,Pumpkin - PALE,0xfea370
3853,Autumn Gold - DK,0xef8125
3826,Golden Brown,0xb16633
3854,Autumn Gold - MED,0xfbac56
3827,Golden Brown - PALE,0xeaa664
3855,Autumn Gold - LT,0xfddfa0
3828,Hazelnut Brown,0xaa7c43
3856,Mahogany - ULT VY LT,0xfdbe8e
3829,Old Gold - VY DK,0xa7671d
3857,Rosewood - DK,0x6a2f26
3830,Terra Cotta,0xa94138
3858,Rosewood - MED,0x803a32
3831,Raspberry - DK,0xc12b52
3859,Rosewood - LT,0xba7a6c
3832,Raspberry - MED,0xe36370
3860,Cocoa,0x896362
3833,Raspberry - LT,0xea8b96
3861,Cocoa - LT,0xac8583
3834,Grape - DK,0x6a2258
3862,Mocha Beige - DK,0x6e492a
3835,Grape - MED,0x924d78
3863,Mocha Beige - MED,0x94725d
3836,Grape - LT,0xc597b9
3864,Mocha Beige - LT,0xc9aa92
3837,Lavender - ULT DK,0x8a2a8f
3865,Winter White,0xfffdf9
3838,Lavender Blue - DK,0x606bad
3866,Mocha Brown - ULT VY LT,0xf0e6d7
